Category ID	Category Name	Number	Name


65	Star Wars / Star Wars Episode 4/5/6	sw0984	Han Solo in Carbonite (Brick 1 x 2 x 5)
102	Scala	scaFemA05	Scala Doll Female Adult (Olivia)
102	Scala	x30	Scala Doll Male Adult (Christian)
54	Aquazone / Aquanauts	aqu001	Aquanaut 1
54	Aquazone / Aquanauts	aqu002	Aquanaut 2
54	Aquazone / Aquanauts	aqu003	Aquanaut 3
54	Aquazone / Aquaraiders I	aqu004	Aquaraider 1 with Hook
54	Aquazone / Aquaraiders I	aqu005	Aquaraider 2
54	Aquazone / Aquasharks	aqu006	Aquashark 1
54	Aquazone / Aquasharks	aqu007	Aquashark 2
54	Aquazone / Aquasharks	aqu008	Aquashark Hybrid
54	Aquazone / Hydronauts	aqu009	Hydronaut 1
54	Aquazone	aqu010	Aquazone
54	Aquazone / Hydronauts	aqu011	Hydronaut 3
54	Aquazone / Stingrays	aqu012	Stingray 1
54	Aquazone / Stingrays	aqu013	Stingray 2
54	Aquazone / Stingrays	aqu014	Stingray 3
9	Castle / Dark Forest	cas004	Dark Forest - Forestman 1
9	Castle / Dark Forest	cas006	Dark Forest - Forestman 2
9	Castle / Dark Forest	cas008	Dark Forest - Forestman 3 with Quiver
9	Castle / Dark Forest	cas009	Dark Forest - Forestman 4, Light Gray Legs with Black Hips
9	Castle / Dark Forest	cas010	Dark Forest - Forestman 4, Brown Legs
9	Castle / Dragon Knights	cas011	Dragon Knights - Dragon Master, Red Plumes
9	Castle	cas012	Castle
9	Castle / Dragon Knights	cas013	Dragon Knights - Knight 1, Light Gray Legs with Black Hips, Black Neck-Protector
9	Castle / Dragon Knights	cas014	Dragon Knights - Knight 1, Light Gray Legs, Black Neck-Protector
9	Castle / Dragon Knights	cas015	Dragon Knights - Knight 2, Black Legs with Red Hips, Black Dragon Helmet, Blue Plumes
9	Castle / Dragon Knights	cas016	Dragon Knights - Knight 2, Black Legs with Red Hips, Dark Gray Neck-Protector
9	Castle / Dragon Knights	cas017	Dragon Knights - Knight 2, Black Legs, Black Dragon Helmet, Red Plumes
9	Castle / Dragon Knights	cas018	Dragon Knights - Knight 2, Black Legs with Red Hips, Black Dragon Helmet, Yellow Plumes
9	Castle / Dragon Knights	cas019	Dragon Knights - Majisto Wizard, no Cape
9	Castle / Fright Knights	cas022	Fright Knights - Bat Lord with Cape
9	Castle / Fright Knights	cas023	Fright Knights - Knight 1, Black Dragon Helmet, no Plume
9	Castle / Fright Knights	cas026	Fright Knights - Knight 2, Black Neck-Protector
9	Castle / Fright Knights	cas027	Fright Knights - Knight 2, Black Chin-Guard
9	Castle / Fright Knights	cas029	Fright Knights - Knight 3, Red Legs with Black Hips, Black Neck-Protector
9	Castle / Fright Knights	cas030	Fright Knights - Knight 3, Red Legs, Black Neck-Protector
9	Castle / Fright Knights	cas032	Fright Knights - Witch with Cape
9	Castle / Knights Kingdom I	cas033	Knights Kingdom I - Queen Leonora (Maiden with Black Cone Hat)
9	Castle / Knights Kingdom I	cas034	Knights Kingdom I - Princess Storm, Female Knight
9	Castle / Knights Kingdom I	cas035	Knights Kingdom I - King Leo
